key,dev_en
monster_Kiridar_nameKey,Kiridar
monster_Kiridar_descriptionKey,"Kiridar is the ambassador of the Animals for the Earth Pact. When she plays her horn, creatures from all over the Earth come to fight by her side. She knows that when they all come together as one, they are invincible."
monster_Watinhart_nameKey,Watinhart
monster_Watinhart_descriptionKey,"When a drift net swept part of his family away from him, Watinhart decided to devote his life to protecting the ocean. He always does so with the best attitude, and even in the most dangerous times, he brings hope and strength to the creatures in the ocean."
monster_TheWarrior_nameKey,The Warrior
monster_TheWarrior_descriptionKey,"The Warrior has been a lonely soul ever since he got lost from his friend Linus in the forest. He still waits for him there, hunting dangerous creatures to kill time. If you welcome him into your community, you’ll find that when you earn his trust, he’s supportive and inspiring."
monster_SirAutomatronicus_nameKey,Sir Automatronicus
monster_SirAutomatronicus_descriptionKey,"Kaih The Eradicator had his blacksmith build Sir Automatronicus to serve as his mechanical squire on his many conquests. This steam-powered machine may not be that agile, but when it hits, it can deal lots of damage."
monster_BellaBaal_nameKey,Bella Baal
monster_BellaBaal_descriptionKey,"When Bella Baal was born, she was so precious that her mother Queen Luthien thought even the tiniest flea would hurt her. She asked White Pandalf to cast a protection spell over her. The spell was effective: Now, when she’s in danger, Bella Baal turns into a ferocious beast!"
monster_VanKMark_nameKey,Van K. Mark
monster_VanKMark_descriptionKey,"While other Space Raiders sail the universe looking for treasure, what motivates Van K. Mark is the ladies. He only joined The Curse of the Cosmos’ crew to seek new romances. As the helmsman, he likes taking detours that drive the captain up the wall."
monster_Globrush_nameKey,Globrush
monster_Globrush_descriptionKey,"Globrush got rich designing high-tech weapons, but then he lost all his Gems gambling. When Captain Copperbeard found him in a tavern, penniless and dejected, he brought him on board The Curse of the Cosmos, where he became the gunsmith."
monster_Himass_nameKey,Himass
monster_Himass_descriptionKey,"A mass of black matter that gets stronger with each defeated enemy? When Captain Copperbeard heard about Himass, he knew he had to have him in his crew straightaway, and he didn’t give up his search until he'd found and recruited him! "
monster_Lumoona_nameKey,Lumoona
monster_Lumoona_descriptionKey,"Lumoona is a medium who can communicate with Mystery through astral planes. In these conversations, Mystery gives Lumoona a peek into future events. When Captain Copperbeard discovered this, he made Lumoona his advisor. She also serves as a compass for buried treasure!"
monster_CaptainCopperbeard_nameKey,Captain Copperbeard
monster_CaptainCopperbeard_descriptionKey,"Brave and ambitious, Captain Copperbeard is determined to find the most valuable treasure in the universe. To this end, he has assembled a spaceship he calls The Curse of the Cosmos and gathered a crew of raiders. Like any pirate, he has a bodyguard: his parrot!"
monster_BoTai_nameKey,Bo Tai
monster_BoTai_descriptionKey,"After a great war, Bo Tai considered his service to the forces of Good finished, so he went on a journey of enlightenment. But now he's had to put his journey on hold: His immense powers of protection and support are needed in Monster Legends — Evil is around the corner."
monster_Famperium_nameKey,Famperium
monster_Famperium_descriptionKey,"Famperium is a gift that Mystery gave Count Vlad after his daughter Fampira left home. Mystery told the Count that the egg contained some of Fampira’s Cells, but she hid the fact that it also contained some of hers, which now allows her to use Famperium's eyes to spy on his new daddy."
monster_Thyra_nameKey,Thyra
monster_Thyra_descriptionKey,"The Monster Lab tends to get very lonely, so Dr. Viktor gathered together some Cells lying around and put them in a crafting pod. He hoped the result would be a nice friend to keep him company, but this rebel punk came out instead. Thyra is anything but nice!"
monster_HydratilaTheIcebringer_nameKey,Hydratila the Icebringer
monster_HydratilaTheIcebringer_descriptionKey,"General Thetys expelled Hydratila from her army when he confronted her about a strategy decision. Battling was Hydratila's life, so he felt that he had been left with nothing. He rebelled against the Water army, but he was defeated. Now he's back, stronger and with a new weapon!"
monster_HydratilaTheBoltcaster_nameKey,Hydratila the Boltcaster
monster_HydratilaTheBoltcaster_descriptionKey,"General Thetys expelled Hydratila from her army when he confronted her about a strategy decision. Battling was Hydratila's life, so he felt that he had been left with nothing. He rebelled against the Water army, but he was defeated. Now he's back, stronger and with a new weapon!"
monster_HydratilaTheRiftmaker_nameKey,Hydratila the Riftmaker
monster_HydratilaTheRiftmaker_descriptionKey,"General Thetys expelled Hydratila from her army when he confronted her about a strategy decision. Battling was Hydratila's life, so he felt that he had been left with nothing. He rebelled against the Water army, but he was defeated. Now he's back, stronger and with a new weapon!"
monster_Semargl_nameKey,Semargl
monster_Semargl_descriptionKey,"One day while Mjolnir, the Guardian of Runes, was crafting the finest Speed Rune in his temple, a lightning bolt sparked from his hammer. When it hit the floor, the bolt cracked open and Semargl emerged! Now Semargl protects Mjolnir’s Temple from sneaky masters."
monster_Vodyanoy_nameKey,Vodyanoy
monster_Vodyanoy_descriptionKey,"This wrathful creature lives beneath a murky pond deep in the forest. The nearby villagers sacrifice their food to try to appease him. If he gets angry with their offering, he drags a Nature monster or two under the water with him and makes them his slaves."
monster_GregozofLyria_nameKey,Gregorz of Lyria
monster_GregozofLyria_descriptionKey,"Gregorz has just completed his training as a witcher, and he can't wait to prove his skills and start making money by saving villages from the claws of some dangerous monsters! Being a monster himself, no one’s better for the job."
monster_BabaYaga_nameKey,Baba Yaga
monster_BabaYaga_descriptionKey,"This witch lives in a hut deep in the forest. She likes to lure travelers to her hut and engage them in long conversations. After a while, she decides if she likes them or not and proceeds to eat them or protect them forever. Spoiler Alert: She rarely likes anyone at all."
monster_AlexBone_nameKey,Alex Bone
monster_AlexBone_descriptionKey,"Even though he's the greatest safecracker of all time, Alex Bone is no stranger to prison. Nevertheless, his stays are always short, since there’s no lock that can resist Mr. Bone’s skills! From time to time, he even enjoys getting sent to the slammer, if only to see his old friends who always have the best stories."
monster_GuavaJuice_nameKey,Guava Juice
monster_GuavaJuice_descriptionKey,"He never runs from a challenge! When he was called upon to enter the ranks of Monster Legends, he only had one question: Can I bring my bathtub? Of course! An artist needs his instrument. Be careful with Guava Juice, he makes a splash wherever he goes!"
monster_Igursus_nameKey,Igursus
monster_Igursus_descriptionKey,"In the middle of a war, Pandalf needed help to win, so he cast a spell on a mountain and split it in two: From the cold and snowy north face, Ouros was born. From the south face, this hot and mighty volcano called Igursus stood up and started walking."
monster_IngvarsBodyguard_nameKey,Ingvar's Bodyguard
monster_IngvarsBodyguard_descriptionKey,"Since the day General Ingvar saved his home village, this monster has dedicated his life to protecting his General, whom he follows blindly and worships like a god. If his death led General Ingvar to victory, then he would happily die: That’s how loyal he is.
"
monster_Cybele_nameKey,Cybele
monster_Cybele_descriptionKey,"When she was little, Cybele was caught in the middle of a big war in her home forest, so she learned how to make use of everything Nature offered to survive. She became so integrated in Nature that magical vegetation now grows inside of her, healing her whenever she needs it."
monster_Tulekahju_nameKey,Tulekahju
monster_Tulekahju_descriptionKey,"Tulekahju lives in the dry mountains of the west. He has a band of eagles that serve him and inform him on the progress of battles. When he decides it’s time to act, he draws his sword and swings the fate of the battle according to his will."
monster_Crissandre_nameKey,Crissandre
monster_Crissandre_descriptionKey,"Crissandre was a slave until one day her fury grew so strong that it gave her the magical power to break free of her chains, defeat her master, and liberate all the other slaves under his oppression. She then summoned Ymur, a Legendary sword that has stayed in her service ever since."
monster_Ukuduma_nameKey,Ukuduma
monster_Ukuduma_descriptionKey,"Ukuduma’s body has always been governed by electricity. It was the day that he learned to control his electricity that he became a true battlemage. Now he’s not only able to adjust the intensity of his own attacks, but also those of his enemies!"
monster_LucifireTheLifemelter_nameKey,Lucifire the Lifemelter
monster_LucifireTheLifemelter_descriptionKey,"For many years, the Fire army was nothing but an unruly crowd, but with time, two monsters rose as contenders for the role of General of the Fire army. Darmith and Lucifire gathered followers, but Darmith had more, so Lucifire had to step aside. Now she's back to claim control of her army!"
monster_LucifireTheHopefreezer_nameKey,Lucifire the Hopefreezer
monster_LucifireTheHopefreezer_descriptionKey,"For many years, the Fire army was nothing but an unruly crowd, but with time, two monsters rose as contenders for the role of General of the Fire army. Darmith and Lucifire gathered followers, but Darmith had more, so Lucifire had to step aside. Now she's back to claim control of her army!"
monster_LucifireTheHelltaser_nameKey,Lucifire the Helltaser
monster_LucifireTheHelltaser_descriptionKey,"For many years, the Fire army was nothing but an unruly crowd, but with time, two monsters rose as contenders for the role of General of the Fire army. Darmith and Lucifire gathered followers, but Darmith had more, so Lucifire had to step aside. Now she's back to claim control of her army!"
monster_PetroLoa_nameKey,Petro Loa
monster_PetroLoa_descriptionKey,"Sambacadabra mixed Baltasar’s Cells with her own to create something like a personal bodyguard. But then the result, Petro Loa, turned out to be a violent, unpredictable creature who will assault anyone who comes close — even Sambacadabra, his very own creator. "
monster_PolarisSea_nameKey,Polaris Sea
monster_PolarisSea_descriptionKey,These huge starfishes live all together in a dark cave in the ocean. They are in serious danger of extinction because everyone wants to use their regeneration powers for themselves. Even Dr. Viktor has his own Polaris Sea in the Lab to perform experiments on it.
monster_SoapSam_nameKey,Soap Sam
monster_SoapSam_descriptionKey,"Sam used to be a cheerful sponge, but ever since he ingested toxic soap all he wants is to die. He suffers with every breath, so he picks on his enemies to provoke them so that they will attack him and kill him. No luck so far!"
monster_Enypiast_nameKey,Enypiast
monster_Enypiast_descriptionKey,"Enypiast has never been seen, but it is easy to tell where he’s been, because he always leaves a trace of blood and dead creatures behind him. The ones that have been closest to catching him say that they only got to see a tiny lightbulb quickly moving away. "
monster_Hirondeleor_nameKey,Hirondeleor
monster_Hirondeleor_descriptionKey,"Hirondeleor doesn’t have any natural predators left, since he killed them all. However, now he’s gotten greedy and he also wants to destroy the only creature that can pose a threat to him: Enypiast."
monster_ElDinoVolador_nameKey,El Dino Volador
monster_ElDinoVolador_descriptionKey,"The son of Gangsterousaurus doesn’t want to continue the family business. Instead, he wants to become a wrestler! He’s got everything he needs: The charisma, the power, and a cool name — El Dino Volador! He might even be better than his idol Plymouth."
monster_AtumsBodyguard_nameKey,Atum's Bodyguard
monster_AtumsBodyguard_descriptionKey,"General Atum was discovered inside a rock by Bogarek, the lead of a clan of miner dwarves enslaved by Warthak and a clan of chaos dwarves. When Atum came to life after being unearthed, he freed the miners and took Bogarek with him as his very own bodyguard."
monster_Burotgor_nameKey,Burotgor
monster_Burotgor_descriptionKey,"Burotgor is the head of the Beastmen Clan, a feared group of monsters who raid villages and hoard huge amounts of Gold and Gems that never get spent, since the only hobby of the Beastmen is killing other Beastmen."
monster_Patrion_nameKey,Patrion
monster_Patrion_descriptionKey,"After being cursed with hate and evil for years, MMOnster finally broke out of his Dark armor. He's Patrion now, a Light warrior who fights to help other monsters trapped by the same Dark curse he suffered."
monster_Jasastur_nameKey,Jasastur
monster_Jasastur_descriptionKey,"Jasastur used to live only in the dimension of dreams, tormenting monsters in their sleep until, one day, a nightmare Baba Yaga was having felt so real that Jasastur trespassed dimensions. Now he can become your deepest fear even if you're awake."
monster_Krugbo_nameKey,Krugbo
monster_Krugbo_descriptionKey,"When Krugbo bites an enemy, its teeth infect the target, leaving it disoriented and possessed. In case you’re looking at him and wondering…, the answer is yes: that is true for each and everyone of his mouths."
monster_Faugnar_nameKey,Faugnar
monster_Faugnar_descriptionKey,"For many years, Faugnar had been stopped from hurting others by an anonymous hero who had kept him trapped inside a dark well, but one day Faugnar found the way to dematerialize his body and become a cloud of powerful, terrifying, black smoke."
monster_Postiguraf_nameKey,Postiguraf
monster_Postiguraf_descriptionKey,"On one of his strolls, Semargl stepped into a dimension of nightmares by mistake. He quickly found the way to go back home. What he didn’t realize is that, by crossing the line between dimensions twice in a second, he left behind a creepy dark duplicate of himself!"
monster_WarthaktheSkullcrusher_nameKey,Warthak the Skullcrusher
monster_WarthaktheMountainsplitter_nameKey,Warthak the Mountainsplitter
monster_WarthaktheSunbringer_nameKey,Warthak the Sunbringer
monster_WarthaktheSkullcrusher_descriptionKey,"Warthak was a powerful warlord who controlled and oppressed many regions with his army of chaos dwarves. He seemed unstoppable until General Atum made his appearance, liberated the regions under his oppression and sent him away. Now Warthak is back to re-write the end of that story."
monster_WarthaktheMountainsplitter_descriptionKey,"Warthak was a powerful warlord who controlled and oppressed many regions with his army of chaos dwarves. He seemed unstoppable until General Atum made his appearance, liberated the regions under his oppression and sent him away. Now Warthak is back to re-write the end of that story."
monster_WarthaktheSunbringer_descriptionKey,"Warthak was a powerful warlord who controlled and oppressed many regions with his army of chaos dwarves. He seemed unstoppable until General Atum made his appearance, liberated the regions under his oppression and sent him away. Now Warthak is back to re-write the end of that story."
monster_Yilitre_nameKey,Yilitre
monster_Yilitre_descriptionKey,"Yilitre can see the future, the past, and many worlds at the same time without moving. His age is a mystery, but it is known that he has been seeing things and selling information to powerful lords for centuries, but that indiscretion has also bought him many enemies."
monster_Psilotus_nameKey,Psilotus
monster_Psilotus_descriptionKey,"Can you feel a halo of silence and peace around Psilotus? Well, Psilotus is a quiet monster and so, he wants his surroundings to be quiet too. If mind control is required in order to achieve quietness, then bring it on!"
monster_SparkingMantis_nameKey,Sparking Mantis
monster_SparkingMantis_descriptionKey,"Unlike praying mantises, who kill their mates, the Sparking Mantis keeps its victims alive in its habitat. When it's feeling low on stamina, it goes home to its collection of victims, shocks one, and sucks stamina off it. That way, the Sparking Mantis keeps collecting new victims non-stop."
monster_DarmithsBodyguard_nameKey,Darmith's Bodyguard
monster_DarmithsBodyguard_descriptionKey,"Unlike other bodyguards, this creature prefers working in the background. He pulls the strings and influences his General with the information provided by his many whisperers. Nothing happens in the Dark army without Darmith's Bodyguard knowing."
monster_Flamerion_nameKey,Flamerion
monster_Flamerion_descriptionKey,Technology at its best: Flamerion consists of a molten lava core contained in a self-refrigerating capsule designed to hold the heat without melting. The fire in the core is managed and deployed through a system of weapons that make Flamerion a killing machine.
monster_Inknatius_nameKey,Inknatius
monster_Inknatius_descriptionKey,"Originally, Inknatius was designed to print news and books. Its memory has stored all the information ever processed, giving it an extensive vocabulary and such an acid sense of humor that it will poison everyone around it."
monster_Tankerion_nameKey,Tankerion
monster_Tankerion_descriptionKey,"Tankerion is one of the first war machines ever created. You could say that it is the archetype for modern tanks: It is extremely resistant and it looks like a bunker. Because of this, the enemy team doesn’t expect it to attack so, when it does hit… chaos!"
monster_SamaeltheDiseaseSpreader_nameKey,Samael the Disease Spreader
monster_SamaeltheDiseaseSpreader_descriptionKey,"After General Nishant killed his brother, this former soldier of the Good Legions traded secrets for Dark powers which allow him to resurrect fallen soldiers. Now he’s a vengeful sorcerer who won’t stop until he destroys Nishant and rescues his brother from the dead."
monster_SamaeltheFeverScatter_nameKey,Samael the Fever Scatterer
monster_SamaeltheFeverScatter_descriptionKey,"After General Nishant killed his brother, this former soldier of the Good Legions traded secrets for Dark powers which allow him to resurrect fallen soldiers. Now he’s a vengeful sorcerer who won’t stop until he destroys Nishant and rescues his brother from the dead."
monster_SamaelthePlagueCarrier_nameKey,Samael the Plague Carrier
monster_SamaelthePlagueCarrier_descriptionKey,"After General Nishant killed his brother, this former soldier of the Good Legions traded secrets for Dark powers which allow him to resurrect fallen soldiers. Now he’s a vengeful sorcerer who won’t stop until he destroys Nishant and rescues his brother from the dead."
monster_Mountezuma_nameKey,Mountezuma
monster_Mountezuma_descriptionKey,"Mountezuma is the divine leader, the shaman, and the protector of his own reptile empire inside the Aztec civilization. He holds all three roles himself because he considers everyone beneath him, even Kulkan, who he has as nothing else than a guard, in spite of his proven skills."
monster_Granuy_nameKey,Granuy
monster_Granuy_descriptionKey,"Tulekahju tried to dissuade his son Granuy from following the dangerous path of battle magic. He even sent the kid with Vodyanoy so that he could learn some support magic, but Granuy ignored his dad and went his own way to learn the most dangerous battle skills he could find."
items_SpecialBlocker_nameKey,All Elements Blocker
items_SpecialBlocker_descriptionKey,Friendly monsters take no damage from all elements except Special during one turn.
monster_Salamander_nameKey,Salamander
monster_Salamander_descriptionKey,"This molten metal blob dropped from Mjolnir's hammer while he was forging runes. The insides of this monster are at such high temperature that its lower half is a red-hot, viscous glob. Salamander is an opportunistic killer scorching anyone who dares come near."
monster_NishantsBodyguard_nameKey,Nishant's Bodyguard
monster_NishantsBodyguard_descriptionKey,This witch met General Nishant on a trip to the Lake of Lost Souls and started following him everywhere. It wasn’t long before she earned his trust and became his advisor. She's overly protective of her General and sees everyone in the Dark army as a potential traitor.
monster_Clivia_nameKey,Clivia
monster_Clivia_descriptionKey,"Clivia’s diet is high in iron, so his favourite food is warriors. The more armor they wear and the more weapons they carry, the more Clivia enjoys the meal! Swords and spears are for him like spicy food for humans."
monster_Gaianova_nameKey,GaiaNova
monster_Gaianova_descriptionKey,"When GaiaNova was born, her father had a prophetic dream  that his daughter was blessed with the spirit of the Earth and destined to be the first female to lead the tribe. When she grew up, she lived up to the expectations: faster and bigger than the rest, fiercer than anyone else!"
monster_LivingForest_nameKey,Living Forest
monster_LivingForest_descriptionKey,"Living Forest embodies the power of Nature. Like Nature itself, this monster can only be understood and appreciated by the wise. Its incredible speed allows it to be ready to empower its allies whenever they need!"
monster_Ragnael_nameKey,Ragnael
monster_Azuriel_descriptionKey,"Azuriel was born in Heaven. It’s her home, and she will defend it valiantly to the end, even if she doesn’t consider herself a fighter. She spends most of her time meditating, but when Remiel calls her name, she’s by his side, ready to defend or attack at his command."
monster_Ragnael_descriptionKey,"Ragnael used to live in the Underworld, but when he helped the Good Legions capture Rabies and the other Sinners, he was banished. However, the Good Legions didn’t forget his help and welcomed him as one of their own. Now he stands at the Gates of Heaven, next to Remiel."
monster_Azuriel_nameKey,Azuriel
monster_Remiel_nameKey,Remiel
monster_Remiel_descriptionKey,"As the guardian of the Gates of Heaven, Remiel is endowed with the moral and physical qualities that are required for the job. Fair and honorable, Remiel chooses his fights carefully. He will not move for a minor threat, only for worthy adversaries and sinners looking for trouble."
monster_LlumTheLight_nameKey,Llum the Light of Freedom
monster_LlumTheIron_nameKey,Llum the Iron Leader
monster_LlumTheMagical_nameKey,Llum the Magical Matriarch
monster_Llum_descriptionKey,"Llum and her brother Ingvar were a great team, though she was obviously the smarter and more powerful of the two. She could not stand it when the Light army chose Ingvar over her as a General, so she left. Now she is back, and those who dissed her are in for a painful lesson!"
monster_ShannarasBodyguard_nameKey,Shannara's Bodyguard
monster_ShannarasBodyguard_descriptionKey,"When General Shannara started receiving threats from the Nature Army, she knew it was time to bring in someone to watch her back… And who could do it better than this Magic monster? He has defeated over a thousand monsters without getting a single scar!"
monster_Ihtiander_nameKey,Ihtiander
monster_Ihtiander_descriptionKey,"Ithiander spent his youth under the sea, wondering what the world would look like. One day, he dreamt that Yilitre gave him eyes to see not only what happens outside the sea, but also the future and the past. When he woke up, he found new eyes on his body and that, in fact, he had the powers from his dream!"
monster_Kaori_nameKey,Kaori
monster_Kaori_descriptionKey,"Kaori was born into a family of admired samurai warriors, but her fate was marriage and homemaking. She had other personal plans, though. Using the elaborate armor of the samurai to conceal her gender, she attended samurai school to become the first female samurai."
monster_Kihaku_nameKey,Kihaku
monster_Kihaku_descriptionKey,"Ever since Kihaku made a massive dragon emerge from nothingness and destroy his enemies, no one questions his power. But he’s more than a fighter: He also offers counsel to people. However, it is harder to decipher Kihaku's advice than to find a solution for the problem yourself."
monster_Oikawa_nameKey,Oikawa
monster_Oikawa_descriptionKey,"Oikawa was raised to become a sumo thanks to his rich family, who paid for the best teachers. He seemed unbeatable, but then he met with defeat and fell into depression. His family paid a sorcerer to make him invincible through magic, but this service was expensive… The price was his soul."
monster_Cloud_nameKey,Cloud
monster_Cloud_descriptionKey,"Cloud was just a kitten when Patrion pulled him out of the river, where he had fallen while playing. Since then, his loyalty to his savior has become indestructible. Steely claws and a feline resilience are his weapons, which put together with Patrion’s skills make a deadly combo."
monster_Undertaker_nameKey,The Undertaker
monster_Undertaker_descriptionKey,"Another day at the graveyard. Another hole to dig, another body to bury… The job can get boring, so when The Undertaker doesn’t feel like digging, he pulls a little trick out of his sleeve: If no one’s dead, there’s no need to work!"
monster_NadielNature_nameKey,Nadiel the Deforestator
monster_NadielFire_nameKey,Nadiel the Pyromancer
monster_NadielWater_nameKey,Nadiel the Flooder
monster_NadielNature_descriptionKey,"Nadiel belongs in the Cardinal Forest. He grew up outraged by what non-Nature monsters do to his home: They come seeking Nature’s help, but they give nothing more than destruction in return. For this reason, Nadiel plans to close the forest to all outsiders, using violence if necessary."
monster_NadielFire_descriptionKey,"Nadiel belongs in the Cardinal Forest. He grew up outraged by what non-Nature monsters do to his home: They come seeking Nature’s help, but they give nothing more than destruction in return. For this reason, Nadiel plans to close the forest to all outsiders, using violence if necessary."
monster_NadielWater_descriptionKey,"Nadiel belongs in the Cardinal Forest. He grew up outraged by what non-Nature monsters do to his home: They come seeking Nature’s help, but they give nothing more than destruction in return. For this reason, Nadiel plans to close the forest to all outsiders, using violence if necessary."
monster_Prototyperion_nameKey,Prototyperion
monster_Prototyperion_descriptionKey,"Prototyperion was Ingenica’s first successful war machine, made from rough materials. She hadn’t yet found the ultimate formula to make her Artifacts immune to all status effects, but she did manage to make Prototyperion a Bulwark, so although not immune, it is very resistant."
monster_Hippierion_nameKey,Hippierion
monster_Hippierion_descriptionKey,"Hippierion was Ingenica’s final project at Monster School. She had meant to create a warrior, but something went wrong with the circuits at the last minute, and she didn’t have time to fix them before her deadline. Hippierion turned out to have impressive skills but a chill attitude."
monster_Sweeperion_nameKey,Sweeperion
monster_Sweeperion_descriptionKey,"When Ingenica was a girl, Captain Copperbeard was her idol, so her first Artifact, Sweeperion, was an homage to him! Sweeperion is a machine she designed to avoid having to spend time cleaning instead of playing around with her tools. Years later, it still keeps it all tidy for her."
monster_Metalisha_nameKey,Metalisha
monster_Metalisha_descriptionKey,"The real wild child. She left home at a young age to join a gang of bikers led by Rador. She was a savage biker, always screaming and getting into fights. When she heard that in a Metal band she could actually get paid for her screaming, she didn’t hesitate and she joined Metalhëad immediately."
monster_Ingenica_nameKey,Ingenica
monster_Ingenica_descriptionKey,"From a young age, Ingenica stood out for her engineering mind and soon became famous! All Monster Masters crave her signature products, Artifacts, and her latest creation, Relics, will change battles forever. She plays a key role in the future of Monster Legends."
monster_Keithor_nameKey,Keithor
monster_Keithor_descriptionKey,"Keithor is the drummer in Metalhëad’s band. With his four arms, he never misses a beat! When he’s not playing, Keithor likes the simple things, especially drinking. He’s Metalhëad’s best friend and the only one who can understand him. "
monster_MontaukCreature_nameKey,Montauk Creature
monster_MontaukCreature_descriptionKey,"This faceless hag is the stuff of nightmares and can torment her enemies in their sleep. She comes from the world of the dead to bring confusion and terrifying hallucinations. She is so greatly feared that many are afraid to fall asleep, which makes them progressively weaker."
monster_MuerteMcBlood_nameKey,Muerte McBlood
monster_MuerteMcBlood_descriptionKey,"Muerte McBlood used to be a normal teenager, until Fampira fell in love with him, infected his blood with a kiss, and turned him into a ghoul with a bottomless appetite for flesh, who can smell blood from great distances. He is as insatiable as he is lethal."
monster_Mothman_nameKey,Mothman
monster_Mothman_descriptionKey,"Many consider this winged creature a mere figment of an impressionable imagination. Reports of its sighting are scarce, but the fact is that the dark forest is peppered with the remains of his victims. Survivors claim to have been assaulted after hearing a loud buzzing."
monster_ScrapWarrior_nameKey,Scrap Warrior
monster_ScrapWarrior_descriptionKey,"The post-apocalyptic Wastelands are ruled by Roxen and Nexor Cox. Lately, their greed is out of control and they are taxing everyone in their territory. Scrap Warrior, has had enough: Outfitted with armor made of junk, he’s ready to fight the Cox brothers and anyone who tries to take advantage of him."
monster_XironMagic_nameKey,Xiron the Quartz
monster_XironNature_nameKey,Xiron the Emerald
monster_XironFire_nameKey,Xiron the Ruby
monster_XironMagic_descriptionKey,"Xiron was an anagram cast by Shannara, but it turned into a ball of Magic and it floated away from her. It traveled through the Multiverse absorbing information and power, until it became intelligent. Now, Xiron is ready to interact and test the weaknesses of monsters."
monster_XironNature_descriptionKey,"Xiron was an anagram cast by Shannara, but it turned into a ball of Magic and it floated away from her. It traveled through the Multiverse absorbing information and power, until it became intelligent. Now, Xiron is ready to interact and test the weaknesses of monsters."
monster_XironFire_descriptionKey,"Xiron was an anagram cast by Shannara, but it turned into a ball of Magic and it floated away from her. It traveled through the Multiverse absorbing information and power, until it became intelligent. Now, Xiron is ready to interact and test the weaknesses of monsters."
monster_Firael_nameKey,Firael
monster_Firael_descriptionKey,"When the leaders of the Underworld discovered that Ragnael had left them to become part of the Good Legions, they swore to destroy him. Fortunately, Firyna was there to lend a helping hand. Together they mixed their Cells to create a monster designed to defend Ragnael: Firael!"
monster_BurningRogue_nameKey,Burning Rogue
monster_BurningRogue_descriptionKey,"As a little boy, Patrick had always wanted to become a hero. When he jumped into his board game, he transformed into an underworld archer at the service of the highest bidder, a mercenary who needs nothing more than his bow to get through pretty much any situation."
monster_DungeonMaster_nameKey,Dungeon Master
monster_DungeonMaster_descriptionKey,"As a kid, the Dungeon Master had no friends so she became a hateful creature, wanting other monsters to follow and obey her. Ever since she became a monster and gained the control of the Dungeons, all her joy comes from challenging monsters with traps and encounters."
monster_HoltersBodyguard_nameKey,Holter's Bodyguard
monster_HoltersBodyguard_descriptionKey,"When General Holter finished building his armored tank, there were some spare parts left, so he gave them to a little fragile monster who was playing in the hangar. Time passed and the little monster became a strong soldier, so Holter decided to recruit him as his personal bodyguard!"
monster_BaronTraitor_nameKey,Baron Traitor
monster_BaronTraitor_descriptionKey,"Baron Traitor was Mr. Flaky's assistant in his illusionism shows and squire in battle. However, upon discovering voodoo magic, he lost his interest in illusionism and followed his own path. Now to ruin his enemies' battles, all he needs is his voodoo staff and hallucinogenic poison. "
monster_Cryotan_nameKey,Cryotan
monster_Cryotan_descriptionKey,"When Ouros and Igursus were created from a mountain, there was a dangerous side effect: Cryotan. This massive creature emerged from the base where the mountain used to stand. It took both Ouros and Igursus to seal him in ice. Unfortunately, Cryotan has now managed to escape."
monster_HerrKommissar_nameKey,Herr Kommissar
monster_HerrKommissar_descriptionKey,"Herr Kommissar has been commanding battalions for years. Thanks to his experience, he was developed an ability to detect cowards in his unit and he uses this to make sure no one escapes. If violence is needed to keep everyone in line, so be it."
monster_Teskita_nameKey,Teskita
monster_Teskita_descriptionKey,"Teskita's only focus is winning. Her lack of not only blood, but compassion, can be regarded as arrogant. But in all honesty, she does what is needed to get the job done. Her character makes her the perfect killing machine for any army."
monster_Voytek_nameKey,Voytek
monster_Voytek_descriptionKey,"Voytek has led the toughest yet most successful military campaigns, except the last one, of which he was the only survivor. Since then, he carries a deep sense of guilt and grief for his fallen comrades, shielded behind his aggressive demeanour."
monster_Zimnyaya_nameKey,Zimnyaya
monster_Zimnyaya_descriptionKey,"Zimnyaya was born a peasant in a small village, where he had many followers as a self-proclaimed overlord. He used manipulation, betrayal, and political propaganda to climb the ranks, murdering both rivals and followers along the way. Power is his sole ambition."
monster_FaradaytheElectrolyzer_nameKey,Faraday the Electrolyzer
monster_FaradaytheDischarguer_nameKey,Faraday the Discharger
monster_FaradaytheObscure_nameKey,Faraday the Obscure
monster_FaradaytheElectrolyzer_descriptionKey,"When General Uria got fed up of VoltaiK getting more respect than him from the Thunder Army, he asked Tesaday, who also hated VoltaiK, for help to create a monster that could better the superhero. What they didn’t realize is that the result of their project, Faraday will also defeat them both."
monster_FaradaytheDischarguer_descriptionKey,"When General Uria got fed up of VoltaiK getting more respect than him from the Thunder Army, he asked Tesaday, who also hated VoltaiK, for help to create a monster that could better the superhero. What they didn’t realize is that the result of their project, Faraday will also defeat them both."
monster_FaradaytheObscure_descriptionKey,"When General Uria got fed up of VoltaiK getting more respect than him from the Thunder Army, he asked Tesaday, who also hated VoltaiK, for help to create a monster that could better the superhero. What they didn’t realize is that the result of their project, Faraday will also defeat them both."
monster_UriasBodyguard_nameKey,Uria's Bodyguard
monster_UriasBodyguard_descriptionKey,"During one particularly tough battle as a soldier in the Thunder Troops, this monster heroically stepped in front of an attack meant for General Uria. Since then she has never left his side. Deeply dedicated to her General and his troops, nothing and no one gets past her. "
monster_Shork_nameKey,Shork
